date,species,origin,destination,bird_count,distance_km,temperature_c,wind_speed_kmh,precipitation_mm,breeding_success_rate
2020-01-05,Arctic Tern,Northern US,Central America,66,3000,3.8811988195307947,8.119890406724053,0.11967753721736135,0.8197056874649611
2020-01-05,Barn Swallow,Northern US,Central America,41,3000,18.189021846893834,6.128231580542005,2.560259497989732,0.8631316254094501
2020-01-05,Ruby-throated Hummingbird,Canada,Mexico,43,4500,17.419622715660342,13.638900372842315,0.688445985107883,0.6671117368334277
2020-01-05,American Robin,Canada,Mexico,44,4500,-4.13280244657798,17.367720186661746,0.9640293195410071,0.8899385314840731
2020-01-05,Canada Goose,Alaska,Argentina,42,17000,8.997461498940883,6.953442280127677,2.3055015261973235,0.5640914962437609
2020-01-05,Sandhill Crane,Northern US,Central America,50,3000,24.47439821046639,23.186408041575643,0.5989155536813722,0.6975133706123893
2020-01-05,Peregrine Falcon,Canada,Mexico,48,4500,10.385342818258167,21.84569549189997,1.194780140814159,0.5370901416010887
2020-01-05,Osprey,Northern US,Central America,52,3000,15.666572785086244,6.76985004103839,0.4362693892625349,0.32713637334632284
2020-01-05,Red Knot,Greenland,Brazil,48,9000,10.393612290402125,10.618690193747614,1.564814166415492,0.3845545349848576
2020-01-05,Warbler,Greenland,Brazil,56,9000,25.571222262189156,5.110442342472048,3.379793554972252,0.7241144063085703
2020-01-12,Arctic Tern,Arctic,Antarctic,57,19000,17.115870123260166,23.299193510875615,3.794754406458024,0.569670404482922
2020-01-12,Barn Swallow,Alaska,Argentina,36,17000,20.970446461790758,11.503666440534941,2.6157515679154817,0.6825344828131279
2020-01-12,Ruby-throated Hummingbird,Arctic,Antarctic,51,19000,5.6623715908795,10.121366455226479,0.08254750463328663,0.7263977338114724
2020-01-12,American Robin,Canada,Mexico,46,4500,22.842081876539382,23.15132947852186,0.5734776459665967,0.5462297538213778
2020-01-12,Canada Goose,Arctic,Antarctic,52,19000,17.930592456455724,10.91267371675428,0.22296791774294417,0.5739207422897461
2020-01-12,Sandhill Crane,Northern US,Central America,43,3000,23.96630383710946,15.786844838313014,3.2946965826071324,0.8376547799540961
2020-01-12,Peregrine Falcon,Alaska,Argentina,45,17000,6.296950454389261,15.681788387508838,1.3265165602116156,0.7154616197341623
2020-01-12,Osprey,Canada,Mexico,46,4500,9.933567803684761,19.060379177903556,0.9039489979339247,0.8830692496325765
2020-01-12,Red Knot,Northern US,Central America,44,3000,7.41672879481758,24.95480970097884,0.6206217380383354,0.8859689734995919
2020-01-12,Warbler,Northern US,Central America,34,3000,19.574156487191427,23.165317719333075,0.5477211042841541,0.38693692325473383
2020-01-19,Arctic Tern,Northern US,Central America,49,3000,7.373730357848483,12.393089121228089,0.5545658319389433,0.7818838538279376
2020-01-19,Barn Swallow,Greenland,Brazil,53,9000,16.686593871932946,15.71549368149517,0.1892583176232419,0.8011814973535429
2020-01-19,Ruby-throated Hummingbird,Northern US,Central America,50,3000,10.835436364486249,9.404820951310967,2.483692276108972,0.7857006276838293
2020-01-19,American Robin,Northern US,Central America,53,3000,23.575032515881126,18.81875476204932,0.9779174019622036,0.8620379932420408
2020-01-19,Canada Goose,Alaska,Argentina,54,17000,17.056501340066706,18.915687986901645,0.518966892696153,0.4049729562575617
2020-01-19,Sandhill Crane,Alaska,Argentina,50,17000,0.5651664830376131,24.925073995158485,6.728922078360775,0.6349760721642586
2020-01-19,Peregrine Falcon,Arctic,Antarctic,43,19000,23.161527228813707,22.126485837561848,1.0367350756805276,0.8326620592565759
2020-01-19,Osprey,Northern US,Central America,38,3000,19.71707291526979,22.971083770541586,1.864987893931179,0.30551823096997777
2020-01-19,Red Knot,Alaska,Argentina,53,17000,16.748330119914712,18.837903953853864,2.1108829642704974,0.43456158567633585
2020-01-19,Warbler,Alaska,Argentina,42,17000,2.8314510764076104,19.883410461131245,2.5526563901574857,0.4848364751114336
2020-01-26,Arctic Tern,Northern US,Central America,50,3000,20.396092015836658,24.57785716550018,1.3339538685507606,0.8436592726311325
2020-01-26,Barn Swallow,Arctic,Antarctic,57,19000,0.017043626280692337,16.53807769252718,1.356586866683387,0.4171457926788267
2020-01-26,Ruby-throated Hummingbird,Greenland,Brazil,50,9000,14.884166802180063,10.591206835935171,4.299625392547021,0.7486312643384484
2020-01-26,American Robin,Greenland,Brazil,63,9000,16.905987051145228,24.333096380873393,6.627470952260411,0.8118056732804162
2020-01-26,Canada Goose,Greenland,Brazil,48,9000,5.73953380788522,16.136025249167005,5.502586941614084,0.7176178780049838
2020-01-26,Sandhill Crane,Canada,Mexico,41,4500,9.870346823643782,22.547461438559107,2.70006849670734,0.7182094445971609
2020-01-26,Peregrine Falcon,Arctic,Antarctic,54,19000,8.330566250434874,10.124138871889162,1.8909948032015174,0.34895650824014424
2020-01-26,Osprey,Alaska,Argentina,53,17000,-1.9181825625030307,6.418818339998554,1.0109593019995071,0.33046111862363814
2020-01-26,Red Knot,Arctic,Antarctic,46,19000,16.650227981093387,5.718845475934842,1.2532138963642192,0.625586780824546
2020-01-26,Warbler,Greenland,Brazil,44,9000,6.440710821706318,11.065310293464456,1.540412538494707,0.49599074507762453
2020-02-02,Arctic Tern,Greenland,Brazil,49,9000,11.254784409095302,18.99024421534388,0.29781942441974,0.37964725334578187
2020-02-02,Barn Swallow,Canada,Mexico,50,4500,2.0878388686381726,20.90372389537407,0.6317029308722746,0.5633828524233817
2020-02-02,Ruby-throated Hummingbird,Canada,Mexico,58,4500,2.9970359294422373,8.128740853421721,0.5760119782531672,0.6295359988236724
2020-02-02,American Robin,Alaska,Argentina,53,17000,11.654987641590516,24.09730561326388,2.6780348097504527,0.6326124315068404
2020-02-02,Canada Goose,Greenland,Brazil,48,9000,27.669111491866225,5.287869772595117,0.2467607844799521,0.32760158521305166
2020-02-02,Sandhill Crane,Alaska,Argentina,42,17000,7.923305343812192,20.26728846007822,3.28922859118081,0.5077825926536406
2020-02-02,Peregrine Falcon,Greenland,Brazil,48,9000,10.599555133030162,12.492252292529425,1.966249989565457,0.6018817551480526
2020-02-02,Osprey,Alaska,Argentina,51,17000,16.307405772860914,17.31702328779828,5.7609396526534535,0.8665509582751005
2020-02-02,Red Knot,Northern US,Central America,51,3000,8.848663222286694,15.9123357863187,5.676254292465998,0.5316615826804646
2020-02-02,Warbler,Alaska,Argentina,53,17000,36.11317641616252,10.479222546422676,0.48309656749804153,0.5263554499367855
2020-02-09,Arctic Tern,Greenland,Brazil,39,9000,12.918777496427248,21.89750621938909,0.04709400636142302,0.7886810895533616
2020-02-09,Barn Swallow,Alaska,Argentina,50,17000,10.069990653411672,11.966732089063948,5.518102398184207,0.32351179600538776
2020-02-09,Ruby-throated Hummingbird,Alaska,Argentina,57,17000,20.517370104650745,21.13669478534528,9.314009780280461,0.5475706061468559
2020-02-09,American Robin,Canada,Mexico,44,4500,7.898720420725161,22.34233214419444,1.650464118152799,0.4431581158742041
2020-02-09,Canada Goose,Greenland,Brazil,55,9000,21.328524373827115,14.931223813661553,0.9873408591219353,0.47858110470558657
2020-02-09,Sandhill Crane,Arctic,Antarctic,48,19000,-7.541586795176155,23.107639528385274,0.1914512210969505,0.49158818255424896
2020-02-09,Peregrine Falcon,Northern US,Central America,51,3000,-2.9204510013521485,11.57329090739832,2.2326471598570126,0.7514247176626081
2020-02-09,Osprey,Alaska,Argentina,51,17000,10.532264882100922,24.3730388794827,2.329696564514655,0.8021783245424243
2020-02-09,Red Knot,Alaska,Argentina,39,17000,10.6669659309744,21.437201185807126,2.44999950626001,0.34880926838513987
2020-02-09,Warbler,Greenland,Brazil,44,9000,17.03822727527467,22.262770439780077,4.246535566174997,0.44201111620924727
2020-02-16,Arctic Tern,Alaska,Argentina,52,17000,13.36134736537032,12.559751802445088,2.4421318884184595,0.4492344926581728
2020-02-16,Barn Swallow,Arctic,Antarctic,40,19000,33.60778054119166,5.227072895348382,1.2647087391658525,0.33378196540910243
2020-02-16,Ruby-throated Hummingbird,Northern US,Central America,56,3000,23.401711592784253,9.750129425849398,1.0223943618096747,0.5866289345281366
2020-02-16,American Robin,Alaska,Argentina,59,17000,26.333420250690736,24.264450788812226,0.024457888717938615,0.8819272960245834
2020-02-16,Canada Goose,Greenland,Brazil,46,9000,23.435740227803443,6.508690941795385,0.3635604432667578,0.43008546395189473
2020-02-16,Sandhill Crane,Alaska,Argentina,53,17000,4.336785217600314,23.02316020981978,0.09302292348696195,0.4685779137553382
2020-02-16,Peregrine Falcon,Northern US,Central America,40,3000,19.627243136411188,12.765367679797443,0.5211580567331902,0.4595627549785434
2020-02-16,Osprey,Greenland,Brazil,54,9000,4.591498467201038,11.190552325726555,3.3618143349759935,0.7108387035323276
2020-02-16,Red Knot,Greenland,Brazil,41,9000,13.772112508424852,16.623252423616528,5.030976311000046,0.3496490520211837
2020-02-16,Warbler,Canada,Mexico,51,4500,21.488932412535497,13.225102331707381,3.0065759705041444,0.5882220491198129
2020-02-23,Arctic Tern,Alaska,Argentina,47,17000,26.535318720078685,16.38162938331495,0.13123677776185189,0.32209312058159484
2020-02-23,Barn Swallow,Alaska,Argentina,54,17000,11.249893716301859,19.998214989399436,4.887508351780233,0.6510897193952832
2020-02-23,Ruby-throated Hummingbird,Greenland,Brazil,44,9000,1.3140988445814283,18.434013688117133,1.9253408694861434,0.5148976308197043
